title,description,date,video,link
Lecture 17,Mouse Events,"Mon, Oct 7",https://www.youtube.com/watch?v=SeHjPSjzdGc,/Website_Backup/class_files/cs151/Slides/slides/Ch5_3.html
Lecture 16,Scoping Things Out,"Wed, Oct 2",https://www.youtube.com/watch?v=LmQLotQn8qE,/Website_Backup/class_files/cs151/Slides/slides/Ch5_2.html
Lecture 15,Stacking Parameters,"Mon, Sep 30",https://www.youtube.com/watch?v=nZw8aE9TOv4,/Website_Backup/class_files/cs151/Slides/slides/Ch5_1.html
Lecture 14,Graphical Basics,"Fri, Sep 27",https://www.youtube.com/watch?v=RDgefewL3OQ,/Website_Backup/class_files/cs151/Slides/slides/Ch4_2.html
Lecture 13,Pig (Latin) Pictures,"Wed, Sep 25",https://www.youtube.com/watch?v=sJd3xmbSb_k,/Website_Backup/class_files/cs151/Slides/slides/Ch4_1.html
Lecture 12,Formatting English Wordle,"Mon, Sep 23",https://www.youtube.com/watch?v=mBGIyOub-IY,/Website_Backup/class_files/cs151/Slides/slides/Ch6_4.html
Lecture 11,Transforming Strings,"Fri, Sep 20",https://www.youtube.com/watch?v=R5Ai0UXtVkE,/Website_Backup/class_files/cs151/Slides/slides/Ch6_3.html
Lecture 10,Pythonic Strings,"Wed, Sep 18",https://www.youtube.com/watch?v=a8hkJsxLO5g,/Website_Backup/class_files/cs151/Slides/slides/Ch6_2.html
Lecture 9,10 Representations,"Mon, Sep 16",https://www.youtube.com/watch?v=uh60WwD7vgc,/Website_Backup/class_files/cs151/Slides/slides/Ch6_1.html
Lecture 8,The Bug Range,"Fri, Sep 13",https://www.youtube.com/watch?v=1rCk6P_T7ck,/Website_Backup/class_files/cs151/Slides/slides/Ch3_1.html
Lecture 7,Booleans and Control,"Wed, Sep 11",https://www.youtube.com/watch?v=POADbN6Qxr4,/Website_Backup/class_files/cs151/Slides/slides/Ch2.html
Lecture 6,Functional Code,"Mon, Sep 9",https://www.youtube.com/watch?v=eooNnM_Sou0,/Website_Backup/class_files/cs151/Slides/slides/Ch1_2.html
Lecture 5,Types and Variables,"Fri, Sep 6",https://www.youtube.com/watch?v=mzKqF7p3Xr8,/Website_Backup/class_files/cs151/Slides/slides/Ch1.html
Lecture 4,For Stepwise Refinement's Sake,"Wed, Sep 4",https://www.youtube.com/watch?v=fP5jARwY9Tw,/Website_Backup/class_files/cs151/Slides/slides/Ch0_4.html
Lecture 3,Clever Karel,"Fri, Aug 30",https://www.youtube.com/watch?v=n5T0UF6kiqg,/Website_Backup/class_files/cs151/Slides/slides/Ch0_3.html
Lecture 2,Functional Karel,"Wed, Aug 28",https://www.youtube.com/watch?v=dEtmIIKyges,/Website_Backup/class_files/cs151/Slides/slides/Ch0_2.html
Lecture 1,Introducing Karel,"Mon, Aug 26",https://www.youtube.com/watch?v=hcjUH8x6ne0,/Website_Backup/class_files/cs151/Slides/slides/Ch0_1.html
